title,latitude,longitude,magnitude,date
104 km S 74° W of Sipalay (Negros Occidental),9.51,121.5,3.1,18 June 2016 - 04:40 PM
018 km S 59° W of Siaton (Negros Oriental),8.99,122.9,2.4,18 June 2016 - 04:34 PM
023 km S 49° W of Rizal (Occidental Mindoro),12.32,120.81,2,18 June 2016 - 12:57 PM
004 km N 05° W of Buguey (Cagayan),18.32,121.83,2.5,18 June 2016 - 11:51 AM
012 km S 60° E of Itogon (Benguet),16.32,120.75,2.8,18 June 2016 - 10:48 AM
026 km N 10° W of Vigan (Ilocos Sur),17.81,120.34,2.9,18 June 2016 - 12:43 AM
023 km N 89° E of Torrijos (Marinduque),13.33,122.29,2.8,17 June 2016 - 11:11 PM
021 km S 52° E of Torrijos (Marinduque),13.21,122.24,3.3,17 June 2016 - 11:06 PM
081 km N 39° W of Busuanga (Palawan),12.75,119.45,1.9,17 June 2016 - 07:14 PM
026 km N 45° E of Santa Cruz (Occidental Mindoro),13.24,120.89,2.7,17 June 2016 - 03:51 PM
083 km N 69° E of Cagwait (Surigao Del Sur),9.19,127.01,4.1,17 June 2016 - 11:16 AM
005 km N 79° W of Ambaguio (Nueva Vizcaya),16.52,120.96,2.5,17 June 2016 - 10:29 AM
008 km N 89° W of Ambaguio (Nueva Vizcaya),16.51,120.93,3.7,17 June 2016 - 08:39 AM
001 km N 85° E of  Cabatuan (Iloilo),10.88,122.49,3.1,17 June 2016 - 04:35 AM
017 km S 09° W of  Calatagan (Batangas),13.68,120.61,3.1,17 June 2016 - 03:46 AM
004 km N 46° W of La Libertad (Zamboanga Del Norte),8.49,123.42,2.2,17 June 2016 - 03:02 AM
006 km S 72° E of Maasin (Southern Leyte),10.11,124.89,2.7,16 June 2016 - 11:39 PM
047 km N 81° W of Sabtang (Batanes),20.4,121.42,3.4,16 June 2016 - 11:38 PM
023 km N 34° E of Calintaan (Occidental Mindoro),12.75,121.06,4.2,16 June 2016 - 08:36 PM
021 km N 19° E of Calintaan (Occidental Mindoro),12.76,121,4,16 June 2016 - 08:17 PM
009 km N 64° W of Candon City (Ilocos Sur),17.23,120.37,3.4,16 June 2016 - 07:02 PM
044 km S 72° W of San Antonio (Zambales),14.82,120.7,2.6,16 June 2016 - 04:12 PM
014 km N 22° E of Calintaan (Occidental Mindoro),12.69,120.99,3.2,16 June 2016 - 03:41 PM
012 km N 70° E of Digos City (Davao Del Sur),6.8,125.47,2.9,16 June 2016 - 07:52 AM
011 km N 75° E of Maguing (Lanao Del Sur),7.94,124.47,2.6,16 June 2016 - 03:05 AM
016 km S 84° W of Madella (Quirino),16.34,121.53,2.6,16 June 2016 - 02:40 AM
020 km S 55° E of Casiguran (Aurora),16.17,122.28,2.6,16 June 2016 - 01:23 AM
026 km S 85° W of Calayan (Cagayan),19.26,121.22,2.5,16 June 2016 - 01:11 AM
010 km S 15° W of Caramoan (Camarines Sur),13.67,123.91,2,16 June 2016 - 12:09 AM
030 km N 75° W of Sipalay (Negros Occidental),9.83,122.14,2.4,15 June 2016 - 07:25 PM
016 km S 35° W of Mangatarem (Pangasinan),15.67,120.21,2.1,14 June 2016 - 05:18 PM
008 km N 09° W of San Nicolas (Pangasinan),16.22,120.84,2.2,14 June 2016 - 07:43 AM
297 km S 69° E of Sarangani (Davao Occidental),4.47,127.97,4.6,14 June 2016 - 01:59 AM
009 km N 83° W of Sipalay (Negros Occidental),9.75,122.32,3.9,14 June 2016 - 12:58 AM
003 km S 72° W of Alaminos City (Pangasinan),16.15,119.95,3.1,14 June 2016 - 12:58 AM
009 km N 44° W of Alaminos City (Pangasinan),16.23,119.97,3.5,14 June 2016 - 12:51 AM
121 km S 63° E of Sarangani (Davao Occidental),4.93,126.44,3.8,13 June 2016 - 10:55 PM
004 km S 16° W of Kitcharao (Agusan Del Norte),9.42,125.56,3.4,13 June 2016 - 09:38 PM
034 km N 32° E of Policarpo (Eastern Samar),12.48,125.56,3.5,13 June 2016 - 03:38 PM
046 km N 04° E of Languyan (Tawi-tawi),5.67,120.11,3.7,13 June 2016 - 09:20 AM
095 km N 84° E of Guiuan (Eastern Samar),11.13,126.58,4.7,13 June 2016 - 06:55 AM
020 km N 28° E of Cortes (Surigao Del Sur),9.43,126.28,2.6,13 June 2016 - 03:56 AM
057 km N 54° E of Bayabas (Surigao Del Sur),9.27,126.7,4.3,13 June 2016 - 02:47 AM
108 km N 74° E of Hinatuan (Surigao Del Sur),8.64,127.28,3.2,13 June 2016 - 01:15 AM
003 km N 84° W of Hinunangan (Southern Leyte),10.4,125.17,3.3,13 June 2016 - 12:26 AM
016 km N 84° E of Pinamalayan (Oriental Mindoro),13.06,121.63,2.2,12 June 2016 - 11:51 PM
008 km N 06° E of Concepcion (Romblon),13.01,121.73,3.1,12 June 2016 - 10:55 PM
013 km N 58° E of Santiago (Agusan Del Norte),9.33,125.66,4,12 June 2016 - 09:12 PM
003 km N 73° E of Alegria (Surigao Del Norte),9.47,125.61,3.8,12 June 2016 - 09:08 PM
014 km S 30° E of Basay (Negros Oriental),9.31,122.7,2.8,12 June 2016 - 07:24 PM
011 km S 29° W of Ambaguio (Nueva Vizcaya),16.41,121.96,2.6,12 June 2016 - 05:53 PM
029 km S 77° W of Lazi (Siquijor),9.07,123.37,2.3,12 June 2016 - 04:48 PM
041 km N 30° W of Initao (Misamis Oriental),8.82,124.12,2.1,12 June 2016 - 12:48 PM
398 km S 69° E of Sarangani (Davao Occidental),4.18,128.84,4,12 June 2016 - 09:50 AM
013 km S 64° E of Anahawan (Southern Leyte),10.22,125.36,2.2,12 June 2016 - 08:10 AM
004 km S 05° E of Ambaguio (Nueva Vizcaya),16.47,121.01,2.2,12 June 2016 - 05:18 AM
003 km S 07° W of Ayungon (Negros Oriental),9.83,123.14,2.4,11 June 2016 - 08:36 PM
017 km S 85° E of Bayabas (Surigao Del Sur),8.96,126.44,3.5,11 June 2016 - 08:16 PM
126 km S 69° E of Uyugan (Batanes),19.95,123.06,2.5,11 June 2016 - 07:07 PM
001 km N 06° E of Tupi (South Cotabato),6.35,124.95,4.1,11 June 2016 - 06:11 PM
015 km N 62° E of Bokod (Benguet),16.52,120.83,2.2,11 June 2016 - 11:21 AM
017 km N 69° W of Bokod (Benguet),16.51,120.56,2.6,11 June 2016 - 06:08 AM
009 km N 56° W of Bokod (Benguet),16.5,120.65,2.1,11 June 2016 - 05:10 AM
009 km S 55° W of Ambaguio (Nueva Vizcaya),16.46,120.93,4.9,11 June 2016 - 02:52 AM
010 km S 48° W of Ambaguio (Nueva Vizcaya),16.45,120.94,2.5,11 June 2016 - 01:50 AM
014 km S 46° E of Bokod (Benguet),16.37,120.81,2.1,11 June 2016 - 01:43 AM
020 km S 42° E of Bokod (Benguet),16.32,120.84,2,11 June 2016 - 01:04 AM
001 km N 18° E of Rizal (Nueva Ecija),15.72,121.11,2.4,10 June 2016 - 11:19 PM
145 km S 48° E of Sarangani (Davao Occidental),4.55,126.44,3.2,10 June 2016 - 04:06 PM
093 km S 35° E of Tarragona (Davao Oriental),6.35,126.93,3.4,10 June 2016 - 03:35 PM
007 km S 39° W of Ambaguio (Nueva Vizcaya),16.46,120.96,2.6,10 June 2016 - 08:14 AM
009 km N 21° E of Bokod (Benguet),16.53,120.74,2.1,10 June 2016 - 07:38 AM
012 km S 14° E of Ambaguio (Nueva Vizcaya),16.41,121.03,2.4,10 June 2016 - 06:55 AM
008 km N 46° W of Bokod (Benguet),16.51,120.66,2.3,10 June 2016 - 06:50 AM
007 km N 16° E of Bokod (Benguet),16.52,120.73,2,10 June 2016 - 06:45 AM
042 km N 43° W of Bolinao (Pangasinan),16.67,119.63,2.9,10 June 2016 - 06:00 AM
024 km S 75° W of Ambaguio (Nueva Vizcaya),16.45,120.79,2.8,10 June 2016 - 04:48 AM
030 km S 57° W of Ambaguio (Nueva Vizcaya),16.36,120.77,3.2,10 June 2016 - 04:23 AM
021 km N 28° W of Ambaguio (Nueva Vizcaya),16.67,120.92,3.5,10 June 2016 - 04:08 AM
007 km S 48° W of Ambaguio (Nueva Vizcaya),16.47,120.95,5.2,10 June 2016 - 03:54 AM
092 km S 49° E of Governor Generoso (Davao Oriental),6.1,126.71,3.5,10 June 2016 - 03:50 AM
015 km S 32° W of Hinoba-an (Negros Occidental),9.44,122.42,2.6,10 June 2016 - 01:42 AM
014 km N 51° E of Mabinay (Negros Oriental),10.05,123.03,2.2,10 June 2016 - 01:19 AM
051 km S 68° E of Cateel (Davao Oriental),7.62,126.88,3.1,09 June 2016 - 11:02 PM
012 km S 23° E of Columbio (Sultan Kudarat),6.71,124.99,2.9,09 June 2016 - 11:57 AM
003 km S 60° E of Mabini (Batangas),13.74,120.97,2.2,09 June 2016 - 04:44 AM
014 km S 34° W of Calatagan (Batangas),13.72,120.56,2.7,09 June 2016 - 02:37 AM
131 km S 71° E of Jose Abad Santos (Davao Occidental),5.51,126.74,3,09 June 2016 - 01:38 AM
173 km S 68° E of Jose Abad Santos (Davao Occidental),5.29,127.06,3.1,09 June 2016 - 01:32 AM
015 km N 72° E of Kabankalan City (Negros Occidental),10.03,122.94,2,09 June 2016 - 01:06 AM
003 km N 12° W of Sergio Osmeña Sr. (Zamboanga Del Norte),8.31,123.29,2.6,09 June 2016 - 12:52 AM
011 km S 33° W of Albuera (Leyte),10.84,124.64,3.3,08 June 2016 - 10:35 PM
160 km S 48° W of Looc (Occidental Mindoro),12.76,119.14,3,08 June 2016 - 10:17 PM
025 km S 64° E of Prieto Diaz (Sorsogon),12.96,124.4,3.4,08 June 2016 - 09:22 PM
004 km S 27° E of Calayan (Cagayan),19.25,121.48,2.3,08 June 2016 - 08:51 PM
015 km N 71° E of General Luna (Surigao Del Norte),9.83,126.28,2.6,08 June 2016 - 08:36 PM
023 km N 61° W of Currimao (Ilocos Norte),18.12,120.28,3.1,08 June 2016 - 06:23 PM
090 km S 85° E of Jose Abad Santos (Davao Occidental),5.82,126.42,3.3,08 June 2016 - 06:07 PM
017 km S 21° E of Batangas City (Batangas),13.61,121.12,2.6,08 June 2016 - 10:46 AM
006 km S 20° E of Calaca (Batangas),13.88,120.83,2.2,08 June 2016 - 10:32 AM
002 km N 86° E of Mabini (Batangas),13.75,120.95,2.2,08 June 2016 - 09:28 AM
088 km S 64° E of Sarangani (Davao Occidental),5.09,126.19,3.6,07 June 2016 - 11:25 PM
097 km S 70° E of Jose Abad Santos (Davao Occidental),5.59,126.44,4.2,07 June 2016 - 10:20 PM
076 km S 71° E of Don Marcelino (Davao Occidental),5.96,126.36,3.8,07 June 2016 - 08:23 PM
009 km S 32° E of Kalamansig (Sultan Kudarat),6.51,124.1,2.6,06 June 2016 - 09:45 PM
159 km S 67° E of Sarangani (Davao Occidental),4.88,126.79,3.5,06 June 2016 - 09:10 PM
022 km N 78° W of Santiago (Ilocos Sur),17.34,120.25,2.5,06 June 2016 - 09:56 AM
089 km N 69° E of Guiuan (Eastern Samar),11.32,126.48,4.1,06 June 2016 - 09:03 AM
013 km S 70° W of Hinigaran (Negros Occidental),10.24,122.74,1.5,06 June 2016 - 05:17 AM
006 km S 34° W of Sagada (Mountain Province),17.04,120.86,3.3,06 June 2016 - 02:41 AM
054 km S 15° E of Tarragona (Davao Oriental),6.57,126.57,3.1,06 June 2016 - 01:13 AM
251 km S 75° E of Sarangani (Davao Occidental),4.83,127.66,3.5,05 June 2016 - 11:00 PM
026 km S 56° W of Mariveles (Bataan),14.31,120.28,2.4,05 June 2016 - 02:29 AM
003 km N 46° W of Burgos (Surigao Del Norte),10.03,126.05,3.2,04 June 2016 - 09:12 PM
007 km S 53° E of Talibon (Bohol),10.11,124.38,2,04 June 2016 - 05:07 PM
008 km S 88° E of Burgos (Surigao Del Norte),10.02,126.14,3.6,04 June 2016 - 04:53 PM
008 km N 82° W of Burgos (Surigao Del Norte),10.03,120,3.1,04 June 2016 - 04:20 PM
007 km S 31° E of Santa Cruz (Occidental Mindoro),13.02,120.76,2.1,04 June 2016 - 12:09 PM
011 km S 15° E of Sablayan (Occidental Mindoro),12.74,120.79,2.8,04 June 2016 - 08:03 AM
031 km S 25° W of San Jose (Occidental Mindoro),12.07,121.02,2.3,04 June 2016 - 03:50 AM
027 km N 74° E of Hinatuan (Surigao Del Sur),8.44,126.57,2.4,04 June 2016 - 03:49 AM
065 km N 58° E of Mapanas (Northern Samar),12.78,125.76,3.8,04 June 2016 - 01:13 AM
012 km N 87° W of Aurora (Isabela),17,121.52,2.1,04 June 2016 - 12:50 AM
020 km S 87° E of Looc (Occidental Mindoro),13.71,120.44,2.4,03 June 2016 - 08:56 PM
152 km S 73° W of Itbayat (Batanes),20.4,120.45,5.1,03 June 2016 - 07:50 PM
025 km S 21° E of San Luis (Aurora),15.51,121.6,2.6,03 June 2016 - 03:58 PM
021 km N 04° E of Cortes (Surigao Del Sur),9.46,126.2,3.5,03 June 2016 - 11:13 AM
149 km S 77° W of Itbayat (Batanes),20.51,120.45,4.1,03 June 2016 - 02:20 AM
009 km N 70° E of Santiago (Agusan Del Norte),9.29,125.63,4.2,02 June 2016 - 11:21 PM
018 km N 80° E of Anda (Pangasinan),16.32,120.12,2.4,02 June 2016 - 04:59 PM
014 km S 04° E of Calayan (Cagayan),19.16,121.47,2.4,02 June 2016 - 03:22 PM
015 km N 47° W of Abra De Ilog (Occidental Mindoro),13.54,120.63,2.3,02 June 2016 - 02:11 PM
013 km S 26° E of Cagwait (Surigao Del Sur),8.81,126.35,3,02 June 2016 - 01:42 PM
021 km N 41° W of Abra De Ilog (Occidental Mindoro),13.59,120.6,2.5,02 June 2016 - 10:38 AM
006 km N 27° E of Calatrava (Negros Occidental),10.65,123.51,2.4,02 June 2016 - 07:34 AM
008 km N 25° E of Hinoba-an (Negros Occidental),9.62,122.53,2.4,02 June 2016 - 04:23 AM
012 km S 80° E of Boljoon (Cebu),9.61,123.59,2.2,02 June 2016 - 03:25 AM
006 km S 50° W of Gabaldon (Bitulok & Sabani) (Nueva Ecija),15.42,121.29,2.5,02 June 2016 - 02:57 AM
101 km S 80° W of San Antonio (Zambales),14.79,119.07,2.4,02 June 2016 - 01:50 AM
014 km S 09° E of Kabankalan City (Negros Occidental),9.86,122.83,2.2,02 June 2016 - 01:30 AM
009 km S 04° E of Kabankalan City (Negros Occidental),9.91,122.82,3,02 June 2016 - 12:00 AM
002 km N 52° E of Calatagan (Batangas),13.85,120.65,2.6,01 June 2016 - 11:53 PM
0125 km N 27° W of San Jose (Dinagat),10.22,125.47,2.6,01 June 2016 - 11:14 PM
010 km N 52° W of Catbalogan (Western Samar),11.84,124.81,3.9,01 June 2016 - 08:39 PM
003 km S 49° E of Dagupan City (Pangasinan),16.03,120.37,2.1,01 June 2016 - 06:15 PM
127 km S 52° E of Sarangani (Davao Occidental),4.73,126.38,4.2,01 June 2016 - 11:23 AM
014 km S 83° E of Isabela (Negros Occidental),10.19,123.12,2,01 June 2016 - 01:14 AM
026 km S 44° W of Mamburao (Occidental Mindoro),13.09,120.46,4.8,01 June 2016 - 12:29 AM
008 km N 71° E of Pilar (Surigao Del Norte),9.89,126.17,3,31 May 2016 - 08:39 PM
024 km N 57° E of Cantilan (Surigao Del Sur),9.46,126.16,4.9,31 May 2016 - 07:32 PM
005 km N 39° W of PIlar (Surigao Del Norte),9.9,126.07,3.3,31 May 2016 - 05:06 PM
014 km S 70° W of Del Carmen (Surigao Del Norte),9.83,125.85,2.7,31 May 2016 - 10:20 AM
007 km S 24° W of Tingloy (Batangas),13.61,120.84,2,31 May 2016 - 08:46 AM
010 km N 44° E of Mamburao (Occidental Mindoro),13.39,120.66,2.3,31 May 2016 - 07:41 AM
004 km N 33° E of Mabinay (Negros Oriental),10,122.95,2.4,31 May 2016 - 04:36 AM
138 km S 89° W of Sabtang (Batanes),20.31,120.56,3.3,31 May 2016 - 01:20 AM
163 km S 64° E of Sarangani (Davao Occidental),4.79,126.79,3.7,31 May 2016 - 12:22 AM
121 km S 71° E of Uyugan (Batanes),20,123.04,3.3,31 May 2016 - 12:19 AM
015 km N 47° E of Malungon (Sarangani),6.36,125.36,2.7,30 May 2016 - 11:41 PM
055 km S 45° E of Gonzaga (Cagayan),17.91,122.36,3.2,30 May 2016 - 08:50 PM
009 km N 70° E of Marihatag (Surigao del Sur),8.83,126.38,3.9,30 May 2016 - 05:14 PM
037 km S 83° W of Mamburao (Occidental Mindoro),13.19,120.25,2.9,30 May 2016 - 04:44 PM
030 km N 61° W of Luna (La Union),16.98,120.13,2.4,30 May 2016 - 07:40 AM
019 km N 73° E of Anda (Bohol),9.79,124.74,2.5,30 May 2016 - 02:50 AM
116 km N 90° W of Itbayat (Batanes),20.8,120.73,3.6,30 May 2016 - 12:29 AM
072 km S 45° W of Iba (Zambales),14.87,119.5,3.5,29 May 2016 - 11:30 PM
001 km N 84° W of Mabinay (Negros Oriental),9.97,122.93,3.2,29 May 2016 - 11:00 PM
049 km N 87° W of Pasuquin (Ilocos Norte),18.36,120.16,2.8,29 May 2016 - 08:55 PM
008 km S 22° E of Kitcharao (Agusan Del Norte),9.39,125.6,3.2,29 May 2016 - 04:15 PM
014 km N 66° E of Dingalan (Aurora),15.45,121.51,2.3,29 May 2016 - 01:22 PM
135 km S 79° W of Itbayat (Batanes),20.58,120.58,3.9,29 May 2016 - 01:10 PM
009 km S 50° E of Claveria (Masbate),12.85,123.31,3,29 May 2016 - 09:41 AM
002 km S 64° E of Maasin (Southern Leyte),10.12,124.86,2.2,29 May 2016 - 09:10 AM
109 km S 81° W of  San Antonio (Zambales),14.8,119.09,3,29 May 2016 - 04:16 AM
067 km S 49° W of  Hinoba-an (Negros Occidental),9.16,122.03,2.4,29 May 2016 - 02:02 AM
010 km S 50° W of  San Clemente (Tarlac),15.66,120.29,2.4,29 May 2016 - 01:49 AM
004 km S 28° E of  Catigbian (Bohol),9.83,124.02,2.8,28 May 2016 - 11:55 PM
001 km N 39° W of  Lutayan (Sultan Kudarat),6.56,124.94,3.3,28 May 2016 - 10:15 PM
018 km S 16° W of  Calatagan (Batangas),13.68,120.59,2.7,28 May 2016 - 09:38 PM
024 km N 29° W of  Abra De Ilog (Occidental Mindoro),13.64,120.62,3.8,28 May 2016 - 01:51 PM
015 km N 68° E of  Calayan (Cagayan),19.33,121.6,2.9,28 May 2016 - 07:05 AM
067 km N 81° W of Laoag City (Ilocos Norte),18.29,119.97,3.3,28 May 2016 - 06:11 AM
034 km N 13° E of Bolinao (Pangasinan),16.69,119.96,2.6,28 May 2016 - 03:57 AM
022 km S 80° E of Lobo (Batangas),13.61,121.41,2.3,28 May 2016 - 12:04 AM
005 km S 50° W of Sagbayan (Bohol),9.89,124.06,3.3,27 May 2016 - 11:50 PM
006 km N 56° W of Dagohoy (Bohol),9.93,124.23,2.4,27 May 2016 - 11:03 PM
030 km N 20° E of Calayan (Cagayan),19.54,121.56,2.2,27 May 2016 - 08:15 PM
007 km S 63° E of Mati (Davao Oriental),6.92,126.27,2.5,27 May 2016 - 05:01 PM
003 km S 62° E of Sagbayan (Bohol),9.9,124.12,3.8,27 May 2016 - 01:48 PM
022 km S 64° E of Mati (Davao Oriental),6.86,126.4,4.3,27 May 2016 - 11:25 AM
037 km N 23° W of Jose Dalman (Ponot) (Zamboanga Del Norte),8.77,122.89,2.3,27 May 2016 - 07:14 AM
010 km S 54° E of Talisay (Negros Occidental),10.69,123.04,2.2,26 May 2016 - 11:49 PM
022 km N 32° W of Aroroy (Masbate),12.68,123.29,3.4,26 May 2016 - 10:09 AM
024 km N 24° W of Maconacon (Isabela),17.58,122.15,3.1,26 May 2016 - 08:03 AM
011 km N 15° W of Polilio (Quezon),14.82,121.91,2.5,26 May 2016 - 07:50 AM
003 km S 86° E of Alcoy (Bohol),9.71,123.53,2.5,26 May 2016 - 05:53 AM
022 km N 87° E of Marihatag (Surigao del Sur),8.81,126.5,2.4,26 May 2016 - 03:55 AM
030 km S 80° E of Marihatag (Surigao del Sur),8.76,126.57,4.8,26 May 2016 - 03:10 AM
012 km S 77° E of Boljoon (Cebu),9.6,123.58,2.2,25 May 2016 - 09:19 PM
018 km S 43° E of Alcoy (Cebu),9.59,123.62,2.5,25 May 2016 - 08:54 PM
005 km S 07° W of Sagbayan (Bohol),9.87,124.09,2.7,25 May 2016 - 08:45 PM
005 km S 02° W of Dalaguete (Cebu),9.71,123.53,3.1,25 May 2016 - 08:22 PM
024 km N 15° E of Sibutad (Zamboanga Del Norte),8.84,123.47,2.5,25 May 2016 - 05:16 PM
080 km S 30° W of Sarangani (Davao Occidental),4.81,125.01,4.4,25 May 2016 - 02:07 PM
039 km N 38° E of Jomalig (Quezon),14.99,122.61,2.6,25 May 2016 - 06:43 AM
032 km S 62° W of Palauig (Zambales),15.3,119.64,2.4,25 May 2016 - 04:18 AM
090 km N 62° W of Currimao (Ilocos Norte),18.4,119.72,3.6,25 May 2016 - 01:26 AM
032 km S 53° W of Paluan (Occidental Mindoro),13.24,120.23,3,25 May 2016 - 12:18 AM
006 km S 22° E of Calayan (Cagayan),19.23,121.48,2.3,25 May 2016 - 12:13 AM
014 km S 84° W of Virac (Catanduanes),13.57,124.1,2.5,24 May 2016 - 09:00 PM
035 km N 20° E of Maconacon (Isabela),17.68,122.35,2.8,24 May 2016 - 07:23 PM
028 km S 57° W of Paluan (Occidental Mindoro),13.28,120.25,3.1,24 May 2016 - 11:42 AM
013 km N 87° E of Santiago (Agusan del Norte),9.27,125.68,2.6,24 May 2016 - 09:18 AM
010 km S 59° E of Santa Maria (Ilocos Sur),17.32,120.56,2.6,24 May 2016 - 08:44 AM
007 km N 53° W of Santa Maria (Ilocos Sur),17.41,120.42,4.9,24 May 2016 - 07:57 AM
028 km S 85° E of Caraga (Davao Oriental),7.31,126.82,2.9,24 May 2016 - 06:26 AM
008 km S 15° W of Anahawan (Southern Leyte),10.21,125.24,2.9,24 May 2016 - 06:15 AM
015 km S 50° E of Tandag (Surigao Del Sur),8.99,126.3,3.4,24 May 2016 - 04:19 AM
004 km N 68° W of Victoria (Oriental Mindoro) ,13.21,121.24,2.1,24 May 2016 - 12:00 AM
071 km N 82° W of Currimao (Ilocos Norte),18.11,119.81,3,23 May 2016 - 10:36 PM
017 km N 64° E of Tandag (Surigao Del Sur),19.15,126.34,2.9,23 May 2016 - 08:29 PM
006 km N 36° W of Victoria (Oriental Mindoro),13.24,121.25,2.8,23 May 2016 - 05:01 PM
024 km S 78° W of Santiago (Ilocos Sur),17.25,120.22,2.5,23 May 2016 - 02:00 PM
002 km N 39° W of Iba (Zambales),15.34,119.97,3.3,23 May 2016 - 08:08 AM
156 km S 73° W of Itbayat (Batanes),20.39,120.42,4.2,23 May 2016 - 07:58 AM
010 km N 79° E of Burdeos (Quezon),14.86,122.05,2.5,23 May 2016 - 04:40 AM
012 km N 21° E of Sual (Pangasinan),16.17,120.13,2.8,23 May 2016 - 04:39 AM
052 km N 01° W of Burgos (Surigao Del Norte),10.5,126.08,2.9,23 May 2016 - 12:27 AM
014 km S 21° W of Calatagan (Batangas),13.71,120.59,2.2,22 May 2016 - 07:13 PM
018 km S 36° W of Del Carmen (Surigao Del Norte),9.74,125.88,2.6,22 May 2016 - 11:43 AM
003 km S 21° W of Tabina (Zamboanga Del Sur),7.47,123.41,3.4,22 May 2016 - 10:44 AM
005 km S 33° E of Getafe (Bohol),10.11,124.18,2.8,22 May 2016 - 09:22 AM
010 km N 08° E of Balbalan (Kalinga),17.54,121.21,2.2,22 May 2016 - 05:36 AM
004 km S 18° E of Sinait (Ilocos Sur),17.86,120.47,2.8,22 May 2016 - 01:40 AM
008 km N 35° E of Burdeos (Quezon),14.92,122.02,4.4,21 May 2016 - 07:14 PM
002 km S 38° E of  Albuera (Leyte),10.9,124.71,2.5,21 May 2016 - 04:48 PM
013 km S 60° W of Adams (Ilocos Norte),18.4,120.8,2.1,21 May 2016 - 04:33 PM
014 km N 52° E of Santa Cruz (Davao Del Sur),6.64,125.56,2,21 May 2016 - 12:35 PM
032 km N 75° E of Lingig (Surigao Del Sur),8.12,126.69,2.4,21 May 2016 - 10:06 AM
010 km S 77° W of Lasam (Cagayan),18.05,121.5,2.6,20 May 2016 - 10:22 PM
008 km S 89° W of Buguey (Cagayan),18.29,121.76,3.3,20 May 2016 - 10:18 PM
012 km S 85° E of Gattaran (Cagayan),18.05,121.74,3.2,20 May 2016 - 10:11 PM
031 km S 85° W of Calayan (Cagayan),19.26,121.17,3.6,20 May 2016 - 06:06 PM
002 km N 55° W of Surigao City (Surigao Del Norte),9.8,125.48,3.5,20 May 2016 - 05:22 PM
012 km N 29° W of Puerto Galera (Oriental Mindoro),13.6,120.9,3.3,20 May 2016 - 01:42 PM
086 km S 54° W of San Antonio (Zambales),14.49,119.44,3.2,20 May 2016 - 11:36 AM
003 km S 49° E of Maco  (Compostela Valley),7.35,125.88,2.7,20 May 2016 - 09:55 AM
122 km S 59° W of San Antonio (Zambales),14.38,119.11,2.8,20 May 2016 - 09:15 AM
015 km S 27° E of Don Marcelino (Davao Occidental),6.07,125.76,3.4,20 May 2016 - 03:10 AM
022 km N 89° E of Cagwait (Surigao Del Sur),8.92,126.5,3.2,19 May 2016 - 03:29 PM
012 km S 12° E of Governor Generoso (Davao Oriental),6.54,126.1,3.4,19 May 2016 - 12.08 PM
172 km S 51° E of Governor Generoso (Davao Oriental),5.67,127.29,3.2,19 May 2016 - 11:25 AM
006 km S 01° W of Balabagan (Lanao Del Sur),7.47,124.12,2.7,19 May 2016 - 09:49 AM
015 km S 17° E of Daguioman (Abra),17.32,120.97,2.3,19 May 2016 - 09:13 AM
014 km N 76° E of Mabinay (Negros Oriental),10,123.06,3.1,19 May 2016 - 05:14 AM
025 km S 72° E of Dulag (Leyte),10.89,125.25,2.8,19 May 2016 - 03:24 AM
105 km S 81° E of Sarangani (Davao Occidental),5.29,126.41,3.4,19 May 2016 - 02:13 AM
020 km N 57° E of General Luna (Surigao del Norte),9.88,126.31,2.8,19 May 2016 - 01:08 AM
005 km N 43° W of Ormoc City (Leyte),11.04,124.58,3.3,18 May 2016 - 09:54 PM
007 km N 47° W of Mamburao (Occidental Mindoro),13.27,120.55,2.2,18 May 2016 - 09:23 PM
034 km N 49° E of Calintaan (Occidental Mindoro),12.83,121.12,2.6,18 May 2016 - 09:05 PM
037 km N 30° E of Butuan City,9.24,125.73,2.8,18 May 2016 - 07:40 PM
007 km S 89° W of Abra De Ilog (Occidental Mindoro),13.44,120.67,2,18 May 2016 - 06:53 PM
031 km S 21° W of Bagac (Bataan),14.34,120.29,3,18 May 2016 - 01:34 PM
188 km S 57° E of Sarangani (Davao Occidental),4.51,126.89,4.3,18 May 2016 - 08:27 AM
152 km S 48° E of Sarangani (Davao Occidental),4.52,126.5,4.4,18 May 2016 - 05:06 AM
034 km N 70° E of Santa Ana (Cagayan),18.56,122.44,2.3,18 May 2016 - 04:00 AM
023 km N 76° W of Anda (Bohol),9.8,124.78,2.9,18 May 2016 - 03:30 AM
006 km N 73° W of Carmen (Bohol),9.84,124.14,2.4,18 May 2016 - 02:34 AM
122 km S 66° E of Jose Abad Santos (Davao Occidental),5.43,126.62,3.3,17 May 2016 - 11:58 PM
003 km N 18° E of Sibunag (Guimaras),10.58,122.6,2.4,17 May 2016 - 11:21 PM
045 km S 85° E of Jose Abad Santos (Davao Occidental),5.85,126.02,4.7,17 May 2016 - 09:58 PM
005 km S 30° W of Dilasag (Aurora),16.35,122.19,2.6,17 May 2016 - 08:15 PM
010 km S 28° W of Solana (Cagayan),17.57,121.65,2.4,17 May 2016 - 05:05 PM
142 km N 33° E of Paracale (Camarines Norte),15.36,123.51,3.3,17 May 2016 - 09:44 AM
016 km S 70° E of Santiago (Agusan Del Norte),9.22,125.69,3.4,17 May 2016 - 04:21 AM
